API Number,Well Name,Well Number,qtrqtr,sec,twp,range,lat,long,Elevation,Facility_type,Facility_status,fluid_type,max_wat_inj_press,max_inj_volume,not_injector_date,Formation_code,Formation,TopPeforation,BottomPerforation,NumberPerforations,PerforationSize,MeasuredDepth,TrueVerticalDepth,MeasuredPlugBackDepth,TrueVerticalPlugBackDepth,TopPerforationSubSea,BottomPerforationSubSea
05-081-06995-00,MOFFAT 26-12-89                    ,SWD #1         ,NWNW,26,12N,89W,40.97126,-107.35474,7276,UIC DISPOSAL,SI,PRODUCED WATER        ,1770,10967409,,MVRD  ,MESAVERDE                                         ,5615,5620,20,,4504,4504,4460,4460,1661,1656
05-077-08174-00,Shire Gulch Federal Disposal       ,1,SWSW,25,9S,97W,39.240116,-108.172853,5490,UIC DISPOSAL,SI,PRODUCED WATER        ,544,2660000,,CZ-CR ,COZZETTE-CORCORAN                                 ,2920,3157,6,0,3252,0,3190,,2570,2333
05-083-05154-00,CACHE UNIT                         ,2,NESE,34,35N,20W,37.245719,-109.029473,,UIC ENHANCED RECOVERY,PR,PRODUCED WATER        ,3200,,00:00.0,ISMY  ,ISMAY                                             ,,,,,5710,,5664,,,
05-083-05346-00,CACHE UNIT (EPA)                   ,15,SENE,2,34N,20W,37.23511,-109.011413,4979,UIC ENHANCED RECOVERY,SI,PRODUCED WATER        ,3200,,,ISMY  ,ISMAY                                             ,5535,5645,,,5693,,5672,,-556,-666
05-083-05353-00,CACHE UNIT                         ,7,SESW,35,35N,20W,37.241989,-109.020183,4906,UIC ENHANCED RECOVERY,IJ,PRODUCED WATER        ,3200,,,ISMY  ,ISMAY                                             ,5432,5562,384,0.5,5793,,5665,,-526,-656
05-083-05145-00,CACHE UNIT (EPA)                   ,12,SWNW,2,34N,20W,37.235059,-109.024083,4926,UIC ENHANCED RECOVERY,SI,PRODUCED WATER        ,3200,,,ISMY  ,ISMAY                                             ,5510,5558,,,5673,,5625,,-584,-632
05-081-06889-00,HIAWATHA                           ,B-2            ,SWSE,13,12N,101W,40.993496,-108.694141,6982,UIC DISPOSAL,IJ,PRODUCED WATER        ,812,7994228,,LEWS  ,LEWIS SHALE                                       ,,,,,5056,,4980,,,
05-081-06896-00,SAND HILLS FEDERAL                 ,14-15          ,SWSW,15,11N,91W,40.90408,-107.59907,6633,UIC DISPOSAL,IJ,PRODUCED WATER        ,500,,,LNCE  ,LANCE                                             ,,,,,3527,0,3466,,,
05-081-07117-00,KALINE SWD                         ,5,NENW,23,12N,94W,40.9912,-107.9184,6094,UIC DISPOSAL,SI,PRODUCED WATER        ,718,36032520,,FTUN  ,FORT UNION                                        ,4054,4800,64,0.53,5236,,5185,,2040,1294
05-075-60032-00,MOUNT HOPE UNIT                    ,W-38           ,SWNE,25,9N,54W,40.725127,-103.35411,4202,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1319,,00:00.0,DSND  ,D SAND                                            ,5016,5033,102,,5080,,,,-814,-831
05-075-60034-00,UPRR                               ,WI-2           ,NWNE,13,11N,53W,40.93367,-103.23493,4572,UIC ENHANCED RECOVERY,IJ,PRODUCED WATER        ,1436,,,JSND  ,J SAND                                            ,5367,5377,40,,5416,,5404,,-795,-805
05-087-05077-00,SAND RIVER                         ,16,SWSW,27,1N,56W,40.01725,-103.63972,4486,UIC ENHANCED RECOVERY,IJ,PRODUCED WATER        ,1372,,,DSND  ,D SAND                                            ,5105,5137,,,5144,0,5143,,-619,-651
05-083-06193-00,MCELMO DOME UNIT (EPA)             ,MWD-1          ,SENE,16,37N,17W,37.464188,-108.721343,6717,UIC DISPOSAL,IJ,PRODUCED WATER        ,860,,,OURAY ,OURAY                                             ,8012,8062,,,8145,,8102,,-1295,-1345
05-083-06087-00,MCCLEAN BASIN                      ,2,SWNE,15,37N,19W,37.46546,-108.92843,6045,UIC DISPOSAL,IJ,PRODUCED WATER        ,3055,,,DSCR  ,DESERT CREEK                                      ,5910,2929,38,,6017,,5979,,135,3116
05-083-06195-00,MCELMO DOME UNIT 26-38-18 (EPA)    ,YWD-1          ,SENW,26,38N,18W,37.524157,-108.803256,6796,UIC DISPOSAL,IJ,PRODUCED WATER        ,2240,,,LDVLL ,LEADVILLE                                         ,8182,8406,,,8478,,8450,,-1386,-1610
05-083-06240-00,MCELMO DOME UNIT 9-38-18 (EPA)     ,HWD-1          ,SESE,9,38N,18W,37.559758,-108.83033,6877,UIC DISPOSAL,IJ,PRODUCED WATER        ,2240,,,LDVLL ,LEADVILLE                                         ,8289,8534,,,8583,,8535,,-1412,-1657
05-083-06193-00,MCELMO DOME UNIT (EPA)             ,MWD-1          ,SENE,16,37N,17W,37.464188,-108.721343,6717,UIC DISPOSAL,IJ,PRODUCED WATER        ,860,,,LDVLL ,LEADVILLE                                         ,7836,7962,26,0.4,8145,,8102,,-1119,-1245
05-083-05147-00,CACHE UNIT                         ,8,NENE,3,34N,20W,37.238319,-109.029033,4895,UIC ENHANCED RECOVERY,SI,PRODUCED WATER        ,3200,,,ISMY  ,ISMAY                                             ,5450,5584,,,5760,,5500,,-555,-689
05-081-07422-00,J C DONNELL                        ,17,SWNE,30,12N,97W,40.972269,-108.332872,6618,UIC DISPOSAL,SI,PRODUCED WATER        ,756,,,WSTCA ,WASATCH A                                         ,,,,,9211,,9175,,,
05-083-06332-00,SENTINEL PEAK(EPA)                 ,8-32-WDW       ,SWNE,8,33.5N,20W,37.20854,-109.042823,5015,UIC DISPOSAL,IJ,PRODUCED WATER        ,2300,,,LISMY ,LOWER ISMAY                                       ,,,,,6033,,0,,,
05-083-06391-00,CACHE UNIT                         ,21,SESE,34,35N,20W,37.243609,-109.031383,4935,UIC ENHANCED RECOVERY,PR,PRODUCED WATER        ,3200,,00:00.0,ISMY  ,ISMAY                                             ,5500,5588,296,,5750,,5640,,-565,-653
05-081-07422-00,J C DONNELL                        ,17,SWNE,30,12N,97W,40.972269,-108.332872,6618,UIC DISPOSAL,SI,PRODUCED WATER        ,756,,,WSTCD ,WASATCH D                                         ,,,,,9211,,9175,,,
05-083-05416-00,CACHE UNIT                         ,4,SWSE,34,35N,20W,37.242039,-109.033973,,UIC ENHANCED RECOVERY,PR,PRODUCED WATER        ,3200,,00:00.0,ISMY  ,ISMAY                                             ,5495,5549,160,,5578,,5555,,,
05-083-06068-00,CACHE UNIT                         ,20,NWNW,2,34N,20W,37.237179,-109.022833,4943,UIC ENHANCED RECOVERY,PR,PRODUCED WATER        ,3200,,00:00.0,ISMY  ,ISMAY                                             ,5463,5600,,,5735,,5546,,-520,-657
05-087-05283-00,ADENA J SAND UNIT                  ,W-44           ,NWSW,18,1N,57W,40.048743,-103.807809,,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1485,,00:00.0,JSND  ,J SAND                                            ,5624,5638,56,,5681,,1092,,,
05-087-05540-00,GLENN                              ,J-1            ,SENW,31,2N,57W,40.095443,-103.803271,,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1485,,00:00.0,JSND  ,J SAND                                            ,5627,5635,25,,5720,,,,,
05-087-05541-00,ADENA J SAND UNIT                  ,W-51           ,SWNW,32,2N,57W,40.095343,-103.789078,4438,UIC ENHANCED RECOVERY,PA,PRODUCED WATER        ,1485,,00:00.0,JSND  ,J SAND                                            ,5524,5534,60,0.5,5595,,,,-1086,-1096
05-087-05542-00,ADENA J SAND UNIT                  ,W-53           ,SWNE,31,2N,57W,40.095499,-103.798571,,UIC ENHANCED RECOVERY,IJ,PRODUCED WATER        ,1485,,,JSND  ,J SAND                                            ,5589,5610,68,,5626,,,,,
